SNPID	CHR	POS	BF	LNBF	SEGNUMBER	LOCUS	islet_atac
rs4611812	chr3	64699445	4.61071	1.52838185816495	1	ADAMTS9	0
rs6772129	chr3	64700425	4.15377	1.42401635560135	1	ADAMTS9	0
rs9860221	chr3	64700799	4.20416	1.43607451128192	1	ADAMTS9	0
rs9860730	chr3	64701146	4.33282	1.46621860023784	1	ADAMTS9	0
rs4368494	chr3	64701387	4.0934	1.40937592056321	1	ADAMTS9	0
rs4504165	chr3	64701890	4.27604	1.453027347656	1	ADAMTS9	0
rs4422297	chr3	64704860	4.28025	1.45401141910279	1	ADAMTS9	0
rs9864077	chr3	64704891	4.22385	1.44074703440978	1	ADAMTS9	0
rs6795735	chr3	64705365	4.84362	1.57766237504968	1	ADAMTS9	0
rs9870322	chr3	64706499	3.89818	1.36050977754616	1	ADAMTS9	0
rs9816778	chr3	64706820	3.73861	1.31871388459057	1	ADAMTS9	0
rs9311910	chr3	64707269	4.36108	1.47271973310879	1	ADAMTS9	0
rs4132228	chr3	64708114	3.99067	1.38395913660432	1	ADAMTS9	0
rs9870517	chr3	64708600	4.37956	1.47694826272125	1	ADAMTS9	0
rs918466	chr3	64710253	4.36779	1.47425716036379	1	ADAMTS9	0
rs7428936	chr3	64710850	4.1934	1.433511860729	1	ADAMTS9	0
chr3:64713406:D	chr3	64713406	4.4129	1.48453206970888	1	ADAMTS9	0
rs17727064	chr3	64714182	4.43168	1.48877874467222	1	ADAMTS9	0
rs62247658	chr3	64715155	4.33007	1.46558370816548	1	ADAMTS9	0
rs6445425	chr3	64719091	4.56571	1.51857403316898	1	ADAMTS9	0
rs4688508	chr3	64720023	4.64665	1.53614652985726	1	ADAMTS9	0
rs12108088	chr3	64722045	4.77457	1.56330391752172	1	ADAMTS9	0
rs13096392	chr3	64722611	4.63329	1.53326719890682	1	ADAMTS9	0
rs7638565	chr3	64723072	4.83265	1.57539497145308	1	ADAMTS9	0
rs6775974	chr3	64724632	4.22294	1.4405315679418	1	ADAMTS9	0
chr3:64727302:D	chr3	64727302	4.07907	1.40586902125706	1	ADAMTS9	0
rs17676309	chr3	64730121	4.88104	1.58535831191343	1	ADAMTS9	0
rs72964564	chr3	123054770	10.10045	2.31257997731014	2	ADCY5	0
rs11708067	chr3	123065778	10.78163	2.37784375998731	2	ADCY5	1
rs11719201	chr3	123068744	10.53702	2.35489477068904	2	ADCY5	0
rs11720108	chr3	123069058	10.61485	2.3622539641086	2	ADCY5	0
rs7614016	chr3	123070426	10.33015	2.33506680383929	2	ADCY5	0
rs7613951	chr3	123070517	10.38297	2.3401669639788	2	ADCY5	0
rs11717195	chr3	123082398	10.32038	2.33412058108094	2	ADCY5	0
rs35841686	chr3	123087916	9.91234	2.29378044559488	2	ADCY5	0
rs34970607	chr3	123090360	9.71834	2.27401482199446	2	ADCY5	0
rs2124500	chr3	123093530	9.50218	2.25152124596565	2	ADCY5	0
rs6794202	chr3	123093887	9.54243	2.25574817000646	2	ADCY5	0
rs2877716	chr3	123094451	9.62112	2.26396068201728	2	ADCY5	0
rs6798189	chr3	123095312	9.76513	2.27881787709205	2	ADCY5	0
rs56371916	chr3	123095543	9.86909	2.28940765061328	2	ADCY5	0
chr3:123096475:D	chr3	123096475	9.69858	2.27197948304044	2	ADCY5	0
chr3:123096476:D	chr3	123096476	9.38068	2.23865225506003	2	ADCY5	0
rs9883204	chr3	123096820	9.5042	2.25173380616992	2	ADCY5	0
rs7596369	chr2	60559206	1.21605	0.195607901119689	3	BCL11A	0
rs9784100	chr2	60562714	1.23772	0.21327097743789	3	BCL11A	0
rs243092	chr2	60565274	2.03378	0.709896130517914	3	BCL11A	0
rs243091	chr2	60565568	3.28291	1.18873022419303	3	BCL11A	0
rs243090	chr2	60565979	3.20832	1.16574743565295	3	BCL11A	0
rs48314	chr2	60566266	2.10059	0.7422182576506	3	BCL11A	0
rs243089	chr2	60568691	1.94546	0.665498452963822	3	BCL11A	0
rs243088	chr2	60568745	3.20058	1.16333204338188	3	BCL11A	0
rs243087	chr2	60569348	1.99578	0.691034951373671	3	BCL11A	0
chr2:60570350:I	chr2	60570350	2.06841	0.726780196183048	3	BCL11A	0
rs243086	chr2	60571065	3.1805	1.15703841713672	3	BCL11A	0
rs243085	chr2	60572671	2.99402	1.09661696600185	3	BCL11A	0
rs243084	chr2	60573424	1.53203	0.426593653372101	3	BCL11A	0
rs243083	chr2	60573870	3.26212	1.18237729076928	3	BCL11A	0
rs184838	chr2	60577289	2.7827	1.0234216793922	3	BCL11A	0
rs12999941	chr2	60579624	1.36341	0.309988914524315	3	BCL11A	0
rs968919	chr2	60579988	1.3812	0.3229526865337	3	BCL11A	0
rs9309325	chr2	60580831	1.60237	0.47148378327709	3	BCL11A	1
rs1912980	chr2	60581855	1.35073	0.300645187043487	3	BCL11A	0
rs243025	chr2	60582051	1.95822	0.672035897347019	3	BCL11A	0
rs243024	chr2	60583665	2.89019	1.06132224390794	3	BCL11A	0
rs243021	chr2	60584819	3.31558	1.19863257062632	3	BCL11A	0
rs243020	chr2	60585028	3.59797	1.28036979752804	3	BCL11A	0
rs243019	chr2	60585806	3.18729	1.15917102596127	3	BCL11A	0
rs173372	chr2	60585822	2.48662	0.91092435861543	3	BCL11A	0
rs171450	chr2	60586100	2.40513	0.877603956150911	3	BCL11A	0
rs243018	chr2	60586707	3.14609	1.14616041198277	3	BCL11A	1
rs243017	chr2	60588472	1.27654	0.244153292891959	3	BCL11A	0
rs184837	chr2	60588850	1.11186	0.106034288621835	3	BCL11A	0
rs243015	chr2	60588871	1.1893	0.173364898751063	3	BCL11A	0
rs173371	chr2	60589284	1.11727	0.110888209767643	3	BCL11A	0
rs181680	chr2	60589606	1.72366	0.54444993701465	3	BCL11A	0
rs243054	chr2	60589945	1.25422	0.226513865419669	3	BCL11A	0
rs243047	chr2	60593634	1.79081	0.582668031465576	3	BCL11A	0
rs243035	chr2	60601376	1.07569	0.0729623161404173	3	BCL11A	0
rs181041051	chr15	62099341	-0.30168	-1.19838842603204	4	C2CD4B	0
rs2059468	chr15	62099418	-0.89102	-0.115388405074138	4	C2CD4B	0
rs187453892	chr15	62099681	-0.22636	-1.48562862670781	4	C2CD4B	0
rs17271123	chr15	62100506	-0.10145	-2.28818921271031	4	C2CD4B	0
rs79471529	chr15	62100616	-0.56404	-0.572630108013108	4	C2CD4B	0
rs145930031	chr15	62101033	-0.44371	-0.812584083100512	4	C2CD4B	0
rs75693046	chr15	62101175	-0.11473	-2.16517373717109	4	C2CD4B	0
rs139171838	chr15	62101239	-0.21204	-1.55098034286253	4	C2CD4B	0
rs117443378	chr15	62101388	-0.95459	-0.0464733500570811	4	C2CD4B	0
rs11071631	chr15	62101559	-0.42544	-0.854631351487427	4	C2CD4B	0
rs11071632	chr15	62101636	0.56052	-0.57889035468012	4	C2CD4B	0
rs143840925	chr15	62101842	-0.09967	-2.30589055000277	4	C2CD4B	0
rs1425268	chr15	62101982	-0.71147	-0.340422026782496	4	C2CD4B	0
rs7179559	chr15	62102013	-0.88325	-0.124146992742882	4	C2CD4B	0
rs11634214	chr15	62102243	-0.88769	-0.119132696038342	4	C2CD4B	0
rs1425267	chr15	62102252	-0.88007	-0.127753829218911	4	C2CD4B	0
rs78494817	chr15	62103000	-0.22742	-1.48095675078556	4	C2CD4B	1
rs11630803	chr15	62103322	0.5605	-0.578926036469922	4	C2CD4B	0
rs112044388	chr15	62103479	-0.27632	-1.28619566458377	4	C2CD4B	0
rs62007326	chr15	62104182	-0.93792	-0.0640906214596095	4	C2CD4B	0
rs116314495	chr15	62104253	-0.08495	-2.4656924308642	4	C2CD4B	0
rs72747831	chr15	62104488	-0.40629	-0.900688088646747	4	C2CD4B	0
chr15:62104635:I	chr15	62104635	-0.51135	-0.670700991730115	4	C2CD4B	0
rs4491446	chr15	62104917	0.44758	-0.803899986295128	4	C2CD4B	0
rs2042605	chr15	62105310	0.07636	-2.57229628012459	4	C2CD4B	0
chr15:62105442:I	chr15	62105442	-0.04135	-3.18568285751244	4	C2CD4B	0
rs56327319	chr15	62105536	-0.28117	-1.26879581036995	4	C2CD4B	0
rs4775437	chr15	62105993	-0.07435	-2.59897160607597	4	C2CD4B	0
rs75355757	chr15	62106098	-0.37296	-0.98628410369469	4	C2CD4B	0
rs73426775	chr15	62106180	-0.74982	-0.28792210125639	4	C2CD4B	0
rs117780881	chr15	62106189	-0.6991	-0.357961485464197	4	C2CD4B	0
rs56402305	chr15	62106233	1.09001	0.0861868705108951	4	C2CD4B	0
rs1559674	chr15	62106284	-0.7798	-0.24871780243364	4	C2CD4B	0
rs117618886	chr15	62106418	-0.68303	-0.381216496510672	4	C2CD4B	0
rs1107785	chr15	62106862	-0.88423	-0.123038069190224	4	C2CD4B	0
rs56659994	chr15	62107150	-0.7587	-0.276148836638108	4	C2CD4B	0
rs12904979	chr15	62107298	-0.09644	-2.33883422566917	4	C2CD4B	0
rs149523850	chr15	62107407	-0.30989	-1.17153788318277	4	C2CD4B	0
rs876863	chr15	62107756	0.18726	-1.67525725347139	4	C2CD4B	0
rs58308046	chr15	62108218	-0.13963	-1.96875921202803	4	C2CD4B	0
rs880151	chr15	62108233	-0.35406	-1.038288888685	4	C2CD4B	0
rs62007327	chr15	62108641	-0.69887	-0.358290534016134	4	C2CD4B	0
rs1863263	chr15	62108754	-0.80722	-0.214159033242745	4	C2CD4B	0
rs880150	chr15	62108885	-0.51535	-0.662908997499335	4	C2CD4B	0
chr15:62109441:D	chr15	62109441	-0.49576	-0.701663340328285	4	C2CD4B	0
rs8023787	chr15	62109512	-0.18117	-1.70831946199422	4	C2CD4B	0
rs11853074	chr15	62109650	-0.19443	-1.6376830778744	4	C2CD4B	0
rs76150334	chr15	62109707	-0.5733	-0.5563461390678	4	C2CD4B	0
rs140678209	chr15	62109951	-0.35345	-1.04001324636517	4	C2CD4B	0
rs12907856	chr15	62110478	-0.32196	-1.1333279647566	4	C2CD4B	0
chr15:62110497:D	chr15	62110497	-0.63208	-0.458739310567659	4	C2CD4B	0
chr15:62110498:I	chr15	62110498	-0.88067	-0.127072297563784	4	C2CD4B	0
chr15:62110499:D	chr15	62110499	-0.48121	-0.731451513717659	4	C2CD4B	0
rs60150299	chr15	62110500	-0.12714	-2.06246643747387	4	C2CD4B	0
rs12050616	chr15	62110523	-0.28035	-1.27171645641246	4	C2CD4B	0
rs61562162	chr15	62110688	0.01501	-4.19903863333677	4	C2CD4B	0
rs10851701	chr15	62110930	-0.27499	-1.2910205456131	4	C2CD4B	0
rs189505132	chr15	62110961	-0.27027	-1.30833381965068	4	C2CD4B	0
rs8033221	chr15	62111300	-0.74382	-0.295956208904027	4	C2CD4B	0
rs148729210	chr15	62111532	-0.20095	-1.60469915808693	4	C2CD4B	0
rs191323998	chr15	62111562	-0.55818	-0.583073787973615	4	C2CD4B	0
chr15:62112025:D	chr15	62112025	0.08829	-2.42712842806865	4	C2CD4B	0
rs146887890	chr15	62112097	-0.44964	-0.799308016388541	4	C2CD4B	0
rs17303803	chr15	62112657	-0.64056	-0.445412485217759	4	C2CD4B	0
rs75101073	chr15	62112677	-0.33219	-1.10204818460401	4	C2CD4B	0
rs188064694	chr15	62113171	-0.22233	-1.50359251435076	4	C2CD4B	0
rs74021316	chr15	62113424	1.21084	0.191314333629	4	C2CD4B	0
rs114544333	chr15	62113624	-0.2309	-1.46577056262169	4	C2CD4B	0
rs141732501	chr15	62113696	-0.31603	-1.15191813319257	4	C2CD4B	0
rs60305506	chr15	62113922	0.66913	-0.401776917851153	4	C2CD4B	0
rs8034714	chr15	62114865	-0.9207	-0.0826210286883369	4	C2CD4B	0
rs78735555	chr15	62114875	-0.34199	-1.0729737821131	4	C2CD4B	0
rs11637925	chr15	62115205	-0.80305	-0.219338300473231	4	C2CD4B	0
rs11637926	chr15	62115206	-0.78279	-0.244890818196897	4	C2CD4B	0
rs73426793	chr15	62115471	-0.14659	-1.9201157046802	4	C2CD4B	0
rs16944648	chr15	62115699	0.58506	-0.536040872907054	4	C2CD4B	0
rs28668218	chr15	62115831	-0.32271	-1.13100119187011	4	C2CD4B	0
rs11639324	chr15	62115859	-0.0506	-2.98380370268872	4	C2CD4B	0
